timestamp,provider,model,scope,input_hash,symbols_count,overall_risk,regime,interpretation_json,latency_ms,ok,error,compliance_warning,schema_repaired,fallback_used
2026-07-02T11:35:52.895522+00:00,openai,gpt-5.4-mini,market_summary,405161819958a829ad3ef99c007a7cc689ece0068f7e305b050c88f9e8cdb467,1,low,trending,"{""market_summary"": ""Overall market trend is strong."", ""symbol_interpretations"": {""BTCUSDT"": {""bias"": ""LONG_BIAS"", ""explanation"": ""Strong buyer delta and CVD."", ""confidence"": 0.85, ""risk_flags"": [], ""what_to_watch_next"": ""Watch next sweep level.""}}, ""overall_risk"": ""low"", ""cleanest_bias_symbols"": [""BTCUSDT""], ""suppressed_symbols"": [], ""regime"": ""trending"", ""data_quality_warnings"": [], ""not_trade_advice"": true}",0,True,,False,False,False
2026-07-02T11:35:52.899347+00:00,openai,gpt-5.4-mini,market_summary,405161819958a829ad3ef99c007a7cc689ece0068f7e305b050c88f9e8cdb467,1,,,"{""market_summary"": ""Missing other fields..."", ""not_trade_advice"": false}",0,False,Schema Validation Failure: Missing required JSON schema key: 'symbol_interpretations'.,False,False,False
2026-07-02T15:41:58.914061+00:00,openai,gpt-5.4-mini,market_summary,fb401ffdd2e3af50bc93b441b16615432d0b86f91f229bffa0ea1a0c94d1117e,20,,,,0,False,Missing or invalid API key for provider 'openai'.,False,False,False
2026-07-02T15:42:27.997283+00:00,openai,gpt-5.4-mini,market_summary,e671c6bd76639af233862650c605987756de0983cc064ff6e3cb3c3d96306f7e,20,,,,0,False,Missing or invalid API key for provider 'openai'.,False,False,False
2026-07-02T17:32:47.372773+00:00,deepseek,deepseek-v4-pro,market_summary,a2dd4c38bed050ecf13a2e062d4e3c28269cc7eafeed9cdde0a4d13a9de96c20,20,,,,20289,False,Exception: The read operation timed out,False,False,False
2026-07-02T17:33:07.694396+00:00,deepseek,deepseek-v4-pro,market_summary,1d4dbc0d24378163e4d0a8c1591e01b56ee35adbdfdb368f08aaca78c5ccffd2,20,,,,20264,False,Exception: The read operation timed out,False,False,False
2026-07-02T17:33:26.531833+00:00,deepseek,deepseek-v4-pro,market_summary,8561fc1f771a49529411a355622079ca92c8268f583eb680ff60919ecf683dbe,20,,,"{
  ""timestamp"": ""2026-07-02T17:33:07.699090+00:00"",
  ""scanner_mode"": ""visual_only_no_execution"",
  ""market_overview"": ""Mixed order flow across top USDT pairs. BTC and ETH show large 1-minute delta spikes but negative session CVDs, indicating short-term buying aggression absorbed by underlying selling pressure. Several altcoins (BCH, WLD) show significant positive 5-minute and 15-minute deltas, while others (SOL, DOGE, XRP) remain heavily negative over the mid-term. Overall imbalance is slightly negative across the board, suggesting cautious market sentiment."",
  ""key_observations"": ""BNBUSDT has been experiencing repeated transitions between WAITING and SHORT_BIAS in recent minutes, but currently sits in WAITING with no active suppression. No other symbols have deviated from WAITING state in the snapshot. Absorption patterns (POSSIBLE_BEARISH_ABSORPTION) on BTC and WLD hint at potential exhaustion of sell-side aggression. TRADE_BURST on DOGE may indicate high-frequency activity, but no directional bias confirmed."",
  ""scanner_actions_summary"": ""All symbols are currently in WAITING state, meaning no active scanner bias or entry conditions are met. The most recent transitions are all for BNBUSDT, which oscillated between WAITING and SHORT_BIAS multiple times without triggering a confirmed signal. Suppression reasons remain NONE for all transitions, indicating that these oscillations are driven by raw order flow metrics rather than an external suppression rule."",
  ""recent_completed_signals_summary"": ""Past signals show mixed outcomes. Wins include BCH (LONG 0.42%), BNB (LONG 0.35%), and WLD (LONG 0.59%). Losses include UNI (SHORT -1.40%) and WLD (SHORT -0.54%). The scanner's performance is slightly negative overall in this batch, reflecting the choppy tape.""
}",18794,False,Schema Validation Failure: Missing required JSON schema key: 'market_summary'.,True,True,False
2026-07-02T17:35:27.983521+00:00,deepseek,deepseek-v4-pro,market_summary,d9cba325b396e78464d793741088702a965108292da4beff5ce25f7cb3b577c0,20,,,,20262,False,Exception: The read operation timed out,False,False,False
2026-07-02T17:37:48.305376+00:00,deepseek,deepseek-v4-pro,market_summary,0263cdb67b81da316acf0a53907303f43b94894c90fbfbfa5f19cffcf439708f,20,,,,20278,False,Exception: The read operation timed out,False,False,False
2026-07-02T17:48:20.880202+00:00,deepseek,deepseek-v4-pro,market_summary,63bf4b2fea89768a48075ff73f9ce7c4d578f65ef9633bf4422a050457ec951d,20,,,,143,False,URL Error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Basic Constraints of CA cert not marked critical (_ssl.c:1081),False,False,False
